iter	RMSE
0	6.376881169
1	6.166477163
2	5.960824518
3	5.773967657
4	5.5885655
5	5.398343511
6	5.205110405
7	5.030830715
8	4.893171024
9	4.73290255
10	4.602241859
11	4.448996296
12	4.320049481
13	4.187975272
14	4.045568539
15	3.919961905
16	3.793023452
17	3.670642376
18	3.556531343
19	3.442192964
20	3.337562174
21	3.24691626
22	3.152605024
23	3.058306242
24	2.972395511
25	2.885299483
26	2.806834846
27	2.72632043
28	2.6529174
29	2.580215055
30	2.507156501
31	2.443304028
32	2.381048747
33	2.329585364
34	2.264500776
35	2.212718171
36	2.156591839
37	2.11139502
38	2.062133053
39	2.008790723
40	1.968911824
41	1.91492051
42	1.873147438
43	1.834559425
44	1.803754339
45	1.768015969
46	1.728838754
47	1.694856668
48	1.66247752
49	1.629404039
50	1.59356455
51	1.556971806
52	1.530071595
53	1.503717382
54	1.479500253
55	1.454830594
56	1.431752416
57	1.413343765
58	1.388486724
59	1.364141658
60	1.348417293
61	1.334244124
62	1.319530039
63	1.301300436
64	1.284826006
65	1.266597502
66	1.252549393
67	1.233916398
68	1.212930426
69	1.20138109
70	1.191426543
71	1.177344382
72	1.165019094
73	1.15134635
74	1.139653124
75	1.130980304
76	1.118099903
77	1.102249668
78	1.089436326
79	1.08198582
80	1.071729961
81	1.064369661
82	1.056804785
83	1.048642789
84	1.040006658
85	1.029644033
86	1.021843621
87	1.012892093
88	1.004532941
89	0.9993640576
90	0.9933408297
91	0.9827405619
92	0.9755441542
93	0.961988978
94	0.956384763
95	0.9522019126
96	0.9494041963
97	0.9374567848
98	0.9263893177
99	0.917932798
100	0.9095813646
101	0.9051156123
102	0.8997481671
103	0.8959157916
104	0.8908922641
105	0.8881899722
106	0.8772890624
107	0.8741478755
108	0.8691320154
109	0.8617304647
110	0.85212782
111	0.8449389431
112	0.8422703685
113	0.8404585282
114	0.8364458249
115	0.8329031771
116	0.8248796731
117	0.8168979914
118	0.815077791
119	0.8129354987
120	0.8112452707
121	0.8025631267
122	0.7947269456
123	0.7929756863
124	0.7903397758
125	0.7880318511
126	0.7830412237
127	0.7772440795
128	0.7749820885
129	0.7732526868
130	0.7657601882
131	0.7586652721
132	0.7570584842
133	0.755488214
134	0.7531437518
135	0.7463551688
136	0.7421363363
137	0.736988922
138	0.734404952
139	0.7328538604
140	0.7279237157
141	0.726357755
142	0.7245179058
143	0.7220139573
144	0.7162626179
145	0.7131469904
146	0.7099567313
147	0.7043672072
148	0.7015734111
149	0.6982729498
150	0.6967988776
151	0.6946126151
152	0.6881572015
153	0.6831550221
154	0.6803711857
155	0.676043163
156	0.6746269316
157	0.673069512
158	0.6699479118
159	0.6662813842
160	0.664962241
161	0.6636520444
162	0.659469174
163	0.6583939665
164	0.6549265061
165	0.6512769702
166	0.649073348
167	0.6465521542
168	0.6423544864
169	0.6397472011
170	0.6380263665
171	0.6355514296
172	0.6336007376
173	0.6314105552
174	0.629658292
175	0.6271362632
176	0.6230934155
177	0.6198585296
178	0.6158838251
179	0.614385222
180	0.6129062497
181	0.6096371447
182	0.6081402718
183	0.6069990425
184	0.6025446067
185	0.5982389865
186	0.5970959188
187	0.5939700843
188	0.5909357845
189	0.5870255353
190	0.5849005987
191	0.5838937764
192	0.5835390877
193	0.5803336115
194	0.576278196
195	0.5751523345
196	0.5742840862
197	0.5695024095
198	0.5642125193
199	0.5615822372
200	0.5596907439
201	0.558313065
202	0.5560932673
203	0.5539285288
204	0.5517539648
205	0.5504762137
206	0.5491010191
207	0.5481445344
208	0.5449088257
209	0.54110894
210	0.53977395
211	0.5367046126
212	0.5353010201
213	0.5342270896
214	0.5315206845
215	0.5305934724
216	0.5278198301
217	0.5252386458
218	0.52339992
219	0.5217527686
220	0.5187228573
221	0.5179779756
222	0.5172728333
223	0.515243338
224	0.5146942825
225	0.5127320685
226	0.5099506457
227	0.5072267033
228	0.5059567929
229	0.505528079
230	0.5040707124
231	0.5031196627
232	0.5012083525
233	0.4997128465
234	0.4974134905
235	0.4951621904
236	0.4948729668
237	0.4927379361
238	0.4908846316
239	0.4891649451
240	0.4879154126
241	0.4865168859
242	0.4850508025
243	0.4829124643
244	0.4816970164
245	0.4795165733
246	0.4774212391
247	0.4768503909
248	0.4744042114
249	0.4716909743
250	0.4699897505
251	0.4678649104
252	0.4665103927
253	0.4648708671
254	0.4632679615
255	0.4624116474
256	0.4620938025
257	0.4600885821
258	0.4595119273
259	0.458948162
260	0.4578688099
261	0.4567715948
262	0.4564305812
263	0.4558786718
264	0.4540959519
265	0.4522119355
266	0.4510311562
267	0.4498105618
268	0.4480775148
269	0.44704941
270	0.446082879
271	0.4444095049
272	0.4434193291
273	0.4412193234
274	0.4397346834
275	0.4381369415
276	0.4368458917
277	0.4363874682
278	0.435787881
279	0.4347497152
280	0.4338315855
281	0.4334751813
282	0.4325293779
283	0.4316795379
284	0.4302262785
285	0.4289862342
286	0.4272805482
287	0.4255602932
288	0.4248911165
289	0.4237899645
290	0.4220050685
291	0.4209448402
292	0.4196167034
293	0.4181744896
294	0.4169032339
295	0.416729782
296	0.4160720924
297	0.4147014211
298	0.4137067772
299	0.4123090806
300	0.4109694223
301	0.4098127423
302	0.4086657461
303	0.4074590802
304	0.4065933101
305	0.4063341935
306	0.4051879237
307	0.4039714248
308	0.403104063
309	0.402169771
310	0.4009475496
311	0.3998188927
312	0.399009134
313	0.3989016362
314	0.3985272517
315	0.3978109732
316	0.3963530322
317	0.3960203731
318	0.394953604
319	0.3942492903
320	0.3929679785
321	0.3923650294
322	0.391739607
323	0.3907690996
324	0.38933766
325	0.388233855
326	0.3872189694
327	0.3865787687
328	0.3863373907
329	0.3860287413
330	0.3854235527
331	0.38462977
332	0.3835802258
333	0.3825841317
334	0.3815795857
335	0.3809409805
336	0.3801697351
337	0.3790312254
338	0.3776859691
339	0.3766185338
340	0.3753115664
341	0.3746032127
342	0.3737109241
343	0.3732690611
344	0.3723496536
345	0.3721373502
346	0.3710623184
347	0.3704172142
348	0.369767554
349	0.3684207498
350	0.3677851137
351	0.3668892112
352	0.3658095666
353	0.3652524678
354	0.3643619369
355	0.3634482161
356	0.3630861064
357	0.3621556319
358	0.3617850875
359	0.3609307851
360	0.3598422272
361	0.3587898797
362	0.358145377
363	0.3571930753
364	0.3557785686
365	0.3548912302
366	0.3542644884
367	0.353764623
368	0.3529887977
369	0.352130791
370	0.3513641118
371	0.350620981
372	0.3504132092
373	0.350278911
374	0.3492920557
375	0.3485291098
376	0.3477693604
377	0.3473030431
378	0.3468605512
379	0.3461741043
380	0.3456337917
381	0.3450093312
382	0.3435646742
383	0.3429360234
384	0.3416238495
385	0.3408363464
386	0.3398994315
387	0.3396940453
388	0.3390702747
389	0.3388390189
390	0.3382068477
391	0.337385701
392	0.337217541
