iter	Passed	Remaining
0	3	3102
1	5	2680
2	7	2605
3	9	2471
4	12	2442
5	14	2404
6	16	2376
7	18	2351
8	21	2389
9	24	2382
10	26	2372
11	28	2357
12	30	2352
13	33	2341
14	35	2327
15	37	2313
16	39	2312
17	42	2308
18	44	2303
19	47	2312
20	49	2305
21	51	2298
22	53	2292
23	56	2288
24	58	2282
25	60	2274
26	62	2267
27	65	2260
28	67	2254
29	69	2246
30	71	2241
31	73	2237
32	76	2235
33	78	2232
34	80	2226
35	83	2224
36	85	2222
37	87	2219
38	89	2214
39	92	2210
40	94	2206
41	96	2202
42	98	2197
43	100	2192
44	103	2189
45	105	2184
46	107	2182
47	109	2179
48	112	2175
49	114	2175
50	116	2173
51	118	2168
52	121	2166
53	123	2161
54	125	2159
55	128	2158
56	130	2155
57	133	2164
58	135	2160
59	137	2157
60	139	2153
61	142	2150
62	144	2147
63	146	2143
64	148	2139
65	150	2135
66	153	2131
67	155	2128
68	157	2126
69	159	2123
70	162	2120
71	164	2117
72	166	2114
73	168	2112
74	171	2109
75	173	2105
76	175	2101
77	177	2098
78	179	2096
79	182	2093
80	184	2089
81	186	2088
82	188	2087
83	191	2084
84	193	2083
85	196	2087
86	198	2087
87	201	2084
88	204	2093
89	206	2089
90	208	2086
91	211	2085
92	213	2083
93	215	2080
94	218	2076
95	220	2075
96	222	2072
97	224	2070
98	227	2067
99	229	2064
100	231	2062
101	233	2059
102	236	2057
103	238	2053
104	240	2051
105	242	2048
106	245	2045
107	247	2042
108	249	2041
109	252	2039
110	254	2037
111	256	2034
112	258	2031
113	260	2028
114	263	2026
115	265	2025
116	268	2023
117	271	2026
118	273	2025
119	275	2022
120	278	2019
121	280	2016
122	282	2013
123	284	2011
124	286	2008
125	289	2006
126	291	2003
127	293	2001
128	296	1999
129	298	1997
130	300	1995
131	303	1995
132	305	1992
133	307	1989
134	310	1986
135	312	1984
136	314	1982
137	317	1980
138	319	1978
139	321	1976
140	324	1973
141	326	1970
142	328	1968
143	330	1965
144	333	1963
145	335	1961
146	337	1959
147	339	1956
148	342	1953
149	344	1951
150	347	1951
151	349	1948
152	351	1945
153	353	1942
154	356	1940
155	358	1938
156	360	1935
157	362	1933
158	365	1930
159	367	1928
160	369	1927
161	372	1924
162	374	1922
163	376	1920
164	379	1918
165	381	1915
166	383	1913
167	385	1911
168	388	1908
169	390	1906
170	392	1904
171	395	1901
172	397	1899
173	399	1896
174	401	1894
175	404	1892
176	406	1888
177	408	1885
178	410	1883
179	412	1881
180	415	1878
181	417	1875
182	419	1874
183	422	1874
184	424	1871
185	427	1869
186	429	1867
187	431	1864
188	434	1862
189	436	1860
190	438	1857
191	440	1854
192	442	1851
193	445	1849
194	447	1846
195	449	1843
196	451	1841
197	453	1838
198	456	1836
199	458	1833
200	460	1831
201	462	1828
202	465	1825
203	467	1823
204	469	1820
205	471	1818
206	473	1815
207	476	1812
208	478	1810
209	480	1808
210	482	1806
211	485	1804
212	487	1801
213	490	1799
214	492	1796
215	494	1794
216	497	1794
217	499	1792
218	501	1790
219	504	1787
220	506	1785
221	508	1783
222	511	1781
223	513	1778
224	515	1776
225	517	1773
226	520	1771
227	523	1773
228	526	1770
229	528	1768
230	531	1768
231	533	1765
232	535	1763
233	537	1760
234	540	1757
235	543	1757
236	545	1755
237	547	1752
238	549	1750
239	551	1747
240	554	1745
241	556	1742
242	558	1740
243	560	1737
244	563	1735
245	565	1732
246	567	1731
247	570	1728
248	572	1726
249	575	1725
250	577	1723
251	579	1721
252	582	1718
253	584	1716
254	586	1714
255	589	1712
256	591	1709
257	593	1706
258	595	1704
259	598	1702
260	600	1699
261	602	1697
262	604	1694
263	606	1691
264	609	1689
265	612	1689
266	614	1686
267	616	1684
268	618	1681
269	621	1679
270	623	1677
271	625	1674
272	628	1674
273	630	1671
274	633	1669
275	635	1666
276	637	1664
277	639	1661
278	641	1658
279	644	1658
280	647	1655
281	649	1653
282	651	1651
283	653	1648
284	656	1646
285	658	1643
286	660	1641
287	662	1638
288	665	1636
289	667	1633
290	669	1631
291	671	1629
292	674	1626
293	676	1624
294	679	1623
295	681	1620
296	683	1618
297	686	1616
298	688	1614
299	691	1612
300	693	1609
301	695	1607
302	697	1604
303	700	1602
304	702	1600
305	704	1598
306	707	1596
307	709	1594
308	711	1591
309	714	1590
310	716	1588
311	719	1586
312	721	1583
313	723	1581
314	726	1579
315	728	1576
316	730	1574
317	732	1571
318	735	1569
319	737	1566
320	739	1564
321	741	1562
322	744	1559
323	746	1557
324	748	1555
325	751	1552
326	753	1550
327	755	1547
328	757	1545
329	759	1542
330	762	1540
331	764	1537
332	767	1536
333	769	1534
334	771	1531
335	773	1528
336	776	1526
337	778	1524
338	780	1522
339	783	1519
340	785	1517
341	787	1515
342	789	1512
343	792	1510
344	794	1509
345	797	1506
346	799	1504
347	801	1501
348	803	1499
349	806	1496
350	808	1494
351	810	1492
352	812	1489
353	815	1487
354	817	1484
355	819	1482
356	821	1480
